sampleplotid,x,y,measurementdate,g,d,h,v,v.ma,v.ku,v.lp,myear,filename.1,a.date.1,a.window.1,filename.2,a.date.2,a.window.2,v.lp.proc
907243,403889.84,6913754.08,2013,28.5,19.1,17.1,235.73,186.37,13.74,35.62,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233H3.laz,2013-07-14,C,NA,NA,NA,15
908011,304984.32,6917541.44,2013,14.3,11.4,9.8,74.57,73.76,0,0.81,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N3433H2.laz,2013-07-10,C,NA,NA,NA,1
908012,304989.07,6917798.13,2013,18.4,18.7,14.7,133.87,132.13,0,1.74,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N3433H2.laz,2013-07-10,C,NA,NA,NA,1
908018,305988.35,6918553.45,2013,14.2,10.5,9.3,70.84,69.69,0,1.14,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N3434G3.laz,2013-07-10,C,NA,NA,NA,2
908021,309283.57,6917553.39,2013,17.4,7.9,8.7,77.82,6.28,0,71.54,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4211B2.laz,2013-07-11,C,NA,NA,NA,92
908025,309528.26,6918570.49,2013,9.6,17.3,14.2,66.86,60.58,0,6.28,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212A1.laz,2013-07-11,C,NA,NA,NA,9
908026,309732.95,6918563.91,2013,18.7,21.6,15.9,143.6,128.31,9.04,6.26,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212A1.laz,2013-07-11,C,NA,NA,NA,4
908027,310034.12,6918545.96,2013,18.3,17.9,14.5,133.71,125.12,1.99,6.59,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212A1.laz,2013-07-11,C,NA,NA,NA,5
908032,313586.36,6917794.95,2013,20.8,21.1,17,167.93,133,2.5,32.44,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4211B4.laz,2013-07-11,C,NA,NA,NA,19
908033,313588.91,6918051.13,2013,15.3,17.8,13.5,103.51,103.51,0,0,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212A3.laz,2013-07-11,C,NA,NA,NA,0
